ssn,name,zipcode,account_id,dob
309-84-1619,Madeline Freeman,19790,104729177,1939-10-14
725-95-8212,Tracy Smith,15549,107148548,1970-12-13
022-60-5610,Heather Spencer,20899,021664030,1968-03-21
774-99-1273,Ashley Kaiser,19884,057116662,1950-06-26
203-11-2900,Luke Marshall,18333,092476176,1929-12-21
366-31-8493,Kristopher Wallace,21695,011201571,1961-04-21
230-76-3764,Megan Jordan,19977,035238287,2001-03-12
836-95-2615,Alexander Stein,18826,033716866,1946-12-07
671-67-3305,Amanda Williams,20936,090359703,1929-07-14
294-28-7960,Krystal Lane,19798,119777716,1986-05-26
137-05-2122,Zachary Martinez,17900,126996784,1954-04-05
124-55-4314,Kenneth Frank,20828,097703776,1994-06-09
162-53-3895,Brenda Gonzalez,19722,043161359,1966-01-22
108-68-2571,Preston Smith,16776,060333678,1978-04-08
388-57-7671,Timothy Williams,21659,110665034,1946-08-08
094-07-2165,Stephen Gibson,19933,102942985,1949-03-03
327-37-3730,Taylor Pineda,15355,053874571,1979-04-01
530-13-5732,Rachel Smith,21857,070294503,1961-12-06
278-51-4317,Tim Fuller,19876,017815712,2002-11-14
316-24-5121,Anthony Roberts,18984,075330585,1956-04-03
332-59-8539,Rita Norton,21918,038896244,1950-07-04
009-28-6889,Patricia Lawrence,19909,067388493,1985-08-24
633-54-3224,Mark Rice,15830,011848798,1970-01-17
635-22-4465,Cameron Singleton,20999,120610448,1930-11-06
029-68-8752,Nicholas Gould,19841,019254229,1939-03-16
108-07-2527,Michael Williams,15106,031479477,1978-10-10
118-99-8563,Todd Reid,21541,024538312,1967-06-05
611-56-0508,Bradley Martin,19800,010391149,1994-05-19
021-80-3019,Lisa Fitzgerald,17850,083911174,1960-05-28
413-71-5507,Julie Hudson,21072,056382387,1997-11-29
